segment_onset,segment_offset,speaker_type,phonemes,syllables,words,raw_filename
42163953,42165479,MAL,14.35,6.84,4.59,20220624_140959_025480_2.txt
42169408,42169511,MAL,9.23,4.44,2.7,20220624_140959_025480_2.txt
42212510,42214837,FEM,21.04,10.35,6.85,20220624_140959_025480_2.txt
42213194,42213339,MAL,6.96,3.17,1.95,20220624_140959_025480_2.txt
42219492,42224011,FEM,39.74,19.37,13.08,20220624_140959_025480_2.txt
42222492,42223893,MAL,17.91,8.64,5.49,20220624_140959_025480_2.txt
42225163,42225511,FEM,10.66,5.18,3.22,20220624_140959_025480_2.txt
42229510,42231386,FEM,16.34,7.7,5.16,20220624_140959_025480_2.txt
42230511,42232980,MAL,19.32,9.32,6.41,20220624_140959_025480_2.txt
42243869,42245492,FEM,15.5,7.42,4.99,20220624_140959_025480_2.txt
42244119,42244224,MAL,8.58,4.1,2.48,20220624_140959_025480_2.txt
42244377,42244566,MAL,7.81,3.61,2.24,20220624_140959_025480_2.txt
42245111,42246991,MAL,18.13,8.85,5.91,20220624_140959_025480_2.txt
42252690,42254221,MAL,14.83,7.22,4.75,20220624_140959_025480_2.txt
42253223,42254295,FEM,10.9,5.12,3.37,20220624_140959_025480_2.txt
42280132,42282525,MAL,17.65,8.2,5.79,20220624_140959_025480_2.txt
42281511,42283175,FEM,12.24,5.43,3.91,20220624_140959_025480_2.txt
42289511,42292145,MAL,25.4,12.73,8.36,20220624_140959_025480_2.txt
42298357,42300492,MAL,14.12,6.32,4.62,20220624_140959_025480_2.txt
42309493,42310737,FEM,13.03,6.23,4.11,20220624_140959_025480_2.txt
42313511,42315492,FEM,13.08,5.8,4.25,20220624_140959_025480_2.txt
42319511,42319621,FEM,5.25,2.22,1.37,20220624_140959_025480_2.txt
42319800,42321992,FEM,14.9,6.73,4.89,20220624_140959_025480_2.txt
42324107,42324250,FEM,7.64,3.52,2.18,20220624_140959_025480_2.txt
42324377,42325511,FEM,9.21,4.1,2.87,20220624_140959_025480_2.txt
42338012,42339011,FEM,6.55,2.54,1.96,20220624_140959_025480_2.txt
42346577,42347130,MAL,8.8,3.89,2.53,20220624_140959_025480_2.txt
42356491,42358184,FEM,14.27,6.75,4.65,20220624_140959_025480_2.txt
42412825,42413922,MAL,12.91,6.15,4.09,20220624_140959_025480_2.txt
42417405,42418897,MAL,9.32,3.82,2.91,20220624_140959_025480_2.txt
42419012,42420227,MAL,11.45,5.05,3.57,20220624_140959_025480_2.txt
42421011,42421583,FEM,10.95,5.21,3.35,20220624_140959_025480_2.txt
42422353,42425011,MAL,20.99,9.65,6.89,20220624_140959_025480_2.txt
42434371,42434520,MAL,4.88,2.02,1.26,20220624_140959_025480_2.txt
42434992,42435129,FEM,8.91,4.27,2.6,20220624_140959_025480_2.txt
42450492,42450774,MAL,7.48,3.41,2.15,20220624_140959_025480_2.txt
42473249,42473485,FEM,5.31,2.22,1.42,20220624_140959_025480_2.txt
42477139,42478263,MAL,9.67,4.29,2.96,20220624_140959_025480_2.txt
42478012,42478262,FEM,7.37,3.35,2.1,20220624_140959_025480_2.txt
42485992,42496512,FEM,72.7,34.98,25.17,20220624_140959_025480_2.txt
42495511,42495744,MAL,3.56,1.21,0.83,20220624_140959_025480_2.txt
42495992,42496120,MAL,8.55,4.02,2.48,20220624_140959_025480_2.txt
42501011,42503493,FEM,17.24,7.84,5.66,20220624_140959_025480_2.txt
42509389,42512423,FEM,24.64,12.09,8.28,20220624_140959_025480_2.txt
42516814,42517511,MAL,6.27,2.63,1.81,20220624_140959_025480_2.txt
42532069,42534065,FEM,14.29,6.8,4.7,20220624_140959_025480_2.txt
